Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US130470307004,130470307004,"Block Group 4, Census Tract 307, Catoosa County, Georgia",59044,4813
1500000US130470307005,130470307005,"Block Group 5, Census Tract 307, Catoosa County, Georgia",15746,2411
1500000US130490101001,130490101001,"Block Group 1, Census Tract 101, Charlton County, Georgia",48250,15986
1500000US130490101002,130490101002,"Block Group 2, Census Tract 101, Charlton County, Georgia",43472,8453
1500000US130490101003,130490101003,"Block Group 3, Census Tract 101, Charlton County, Georgia",46711,11583
1500000US130490101004,130490101004,"Block Group 4, Census Tract 101, Charlton County, Georgia",40403,18701
1500000US130490102001,130490102001,"Block Group 1, Census Tract 102, Charlton County, Georgia",28285,4014
1500000US130490102002,130490102002,"Block Group 2, Census Tract 102, Charlton County, Georgia",64293,5499
1500000US130510001001,130510001001,"Block Group 1, Census Tract 1, Chatham County, Georgia",4357,2673
1500000US130510003001,130510003001,"Block Group 1, Census Tract 3, Chatham County, Georgia",51250,9647
1500000US130510003002,130510003002,"Block Group 2, Census Tract 3, Chatham County, Georgia",55729,16595
1500000US130510006012,130510006012,"Block Group 2, Census Tract 6.01, Chatham County, Georgia",21906,6820
1500000US130510006013,130510006013,"Block Group 3, Census Tract 6.01, Chatham County, Georgia",22316,11783
1500000US130510006014,130510006014,"Block Group 4, Census Tract 6.01, Chatham County, Georgia",13636,7472
1500000US130510006015,130510006015,"Block Group 5, Census Tract 6.01, Chatham County, Georgia",16397,13943
1500000US130510009001,130510009001,"Block Group 1, Census Tract 9, Chatham County, Georgia",43182,7931
1500000US130510011001,130510011001,"Block Group 1, Census Tract 11, Chatham County, Georgia",35776,4669
1500000US130510011002,130510011002,"Block Group 2, Census Tract 11, Chatham County, Georgia",18750,4117
1500000US130510012001,130510012001,"Block Group 1, Census Tract 12, Chatham County, Georgia",11993,4515
1500000US130510015001,130510015001,"Block Group 1, Census Tract 15, Chatham County, Georgia",17083,5643
1500000US130510020001,130510020001,"Block Group 1, Census Tract 20, Chatham County, Georgia",28125,19951
1500000US130510020002,130510020002,"Block Group 2, Census Tract 20, Chatham County, Georgia",26346,4244
1500000US130510021001,130510021001,"Block Group 1, Census Tract 21, Chatham County, Georgia",30132,5617
1500000US130510021002,130510021002,"Block Group 2, Census Tract 21, Chatham County, Georgia",21500,10073
1500000US130510021003,130510021003,"Block Group 3, Census Tract 21, Chatham County, Georgia",45764,27632
1500000US130510022001,130510022001,"Block Group 1, Census Tract 22, Chatham County, Georgia",30938,12683
1500000US130510022002,130510022002,"Block Group 2, Census Tract 22, Chatham County, Georgia",24878,9018
1500000US130510022004,130510022004,"Block Group 4, Census Tract 22, Chatham County, Georgia",19890,15531
1500000US130510022005,130510022005,"Block Group 5, Census Tract 22, Chatham County, Georgia",38087,10942
1500000US130510023001,130510023001,"Block Group 1, Census Tract 23, Chatham County, Georgia",27963,8851
1500000US130510023002,130510023002,"Block Group 2, Census Tract 23, Chatham County, Georgia",27000,11828
1500000US130510026001,130510026001,"Block Group 1, Census Tract 26, Chatham County, Georgia",30461,8628
1500000US130510026002,130510026002,"Block Group 2, Census Tract 26, Chatham County, Georgia",46250,21402
1500000US130510027001,130510027001,"Block Group 1, Census Tract 27, Chatham County, Georgia",34911,11043
1500000US130510027002,130510027002,"Block Group 2, Census Tract 27, Chatham County, Georgia",23125,8257
1500000US130510027003,130510027003,"Block Group 3, Census Tract 27, Chatham County, Georgia",24500,16817
1500000US130510027004,130510027004,"Block Group 4, Census Tract 27, Chatham County, Georgia",23125,8903
1500000US130510028001,130510028001,"Block Group 1, Census Tract 28, Chatham County, Georgia",19432,6502
1500000US130510028003,130510028003,"Block Group 3, Census Tract 28, Chatham County, Georgia",21818,4470
1500000US130510029001,130510029001,"Block Group 1, Census Tract 29, Chatham County, Georgia",76071,32838
1500000US130510029002,130510029002,"Block Group 2, Census Tract 29, Chatham County, Georgia",80431,13483
1500000US130510029003,130510029003,"Block Group 3, Census Tract 29, Chatham County, Georgia",74792,37602
1500000US130510029004,130510029004,"Block Group 4, Census Tract 29, Chatham County, Georgia",74464,74111
1500000US130510030001,130510030001,"Block Group 1, Census Tract 30, Chatham County, Georgia",45060,15781
1500000US130510030002,130510030002,"Block Group 2, Census Tract 30, Chatham County, Georgia",82614,17791
1500000US130510033011,130510033011,"Block Group 1, Census Tract 33.01, Chatham County, Georgia",28684,9958
1500000US130510033012,130510033012,"Block Group 2, Census Tract 33.01, Chatham County, Georgia",23235,2613
1500000US130510033021,130510033021,"Block Group 1, Census Tract 33.02, Chatham County, Georgia",40474,6684
1500000US130510033022,130510033022,"Block Group 2, Census Tract 33.02, Chatham County, Georgia",25833,15024
1500000US130510034001,130510034001,"Block Group 1, Census Tract 34, Chatham County, Georgia",31250,18891
1500000US130510034002,130510034002,"Block Group 2, Census Tract 34, Chatham County, Georgia",42896,21964
1500000US130510034003,130510034003,"Block Group 3, Census Tract 34, Chatham County, Georgia",82361,22133
1500000US130510034004,130510034004,"Block Group 4, Census Tract 34, Chatham County, Georgia",62778,15135
1500000US130510034005,130510034005,"Block Group 5, Census Tract 34, Chatham County, Georgia",46654,22197
1500000US130510035011,130510035011,"Block Group 1, Census Tract 35.01, Chatham County, Georgia",31378,10759
1500000US130510035012,130510035012,"Block Group 2, Census Tract 35.01, Chatham County, Georgia",20029,4578
1500000US130510035013,130510035013,"Block Group 3, Census Tract 35.01, Chatham County, Georgia",12917,4014
1500000US130510035021,130510035021,"Block Group 1, Census Tract 35.02, Chatham County, Georgia",41400,8120
1500000US130510035022,130510035022,"Block Group 2, Census Tract 35.02, Chatham County, Georgia",29821,13217
1500000US130510035023,130510035023,"Block Group 3, Census Tract 35.02, Chatham County, Georgia",46111,23170
1500000US130510035024,130510035024,"Block Group 4, Census Tract 35.02, Chatham County, Georgia",46125,37172
1500000US130510036011,130510036011,"Block Group 1, Census Tract 36.01, Chatham County, Georgia",40222,15648
1500000US130510036012,130510036012,"Block Group 2, Census Tract 36.01, Chatham County, Georgia",23000,17664
1500000US130510036021,130510036021,"Block Group 1, Census Tract 36.02, Chatham County, Georgia",33523,30360
1500000US130510036022,130510036022,"Block Group 2, Census Tract 36.02, Chatham County, Georgia",42436,12152
1500000US130510036023,130510036023,"Block Group 3, Census Tract 36.02, Chatham County, Georgia",23429,9938
1500000US130510036024,130510036024,"Block Group 4, Census Tract 36.02, Chatham County, Georgia",39213,3598
1500000US130510036025,130510036025,"Block Group 5, Census Tract 36.02, Chatham County, Georgia",24954,15026
1500000US130510037001,130510037001,"Block Group 1, Census Tract 37, Chatham County, Georgia",31957,12979
1500000US130510037002,130510037002,"Block Group 2, Census Tract 37, Chatham County, Georgia",37321,23142
1500000US130510038001,130510038001,"Block Group 1, Census Tract 38, Chatham County, Georgia",36875,7471
1500000US130510038002,130510038002,"Block Group 2, Census Tract 38, Chatham County, Georgia",31875,14401
1500000US130510039001,130510039001,"Block Group 1, Census Tract 39, Chatham County, Georgia",49375,35243
1500000US130510039002,130510039002,"Block Group 2, Census Tract 39, Chatham County, Georgia",27409,13390
1500000US130510039003,130510039003,"Block Group 3, Census Tract 39, Chatham County, Georgia",44500,9747
1500000US130510039004,130510039004,"Block Group 4, Census Tract 39, Chatham County, Georgia",38750,6226
1500000US130510040011,130510040011,"Block Group 1, Census Tract 40.01, Chatham County, Georgia",77750,28789
1500000US130510040012,130510040012,"Block Group 2, Census Tract 40.01, Chatham County, Georgia",71917,20577
1500000US130510040013,130510040013,"Block Group 3, Census Tract 40.01, Chatham County, Georgia",54464,39466
1500000US130510040014,130510040014,"Block Group 4, Census Tract 40.01, Chatham County, Georgia",40096,5326
1500000US130510040015,130510040015,"Block Group 5, Census Tract 40.01, Chatham County, Georgia",27396,11145
1500000US130510040021,130510040021,"Block Group 1, Census Tract 40.02, Chatham County, Georgia",40292,14798
1500000US130510040022,130510040022,"Block Group 2, Census Tract 40.02, Chatham County, Georgia",31042,10643
1500000US130510040023,130510040023,"Block Group 3, Census Tract 40.02, Chatham County, Georgia",26250,6436
1500000US130510040024,130510040024,"Block Group 4, Census Tract 40.02, Chatham County, Georgia",44893,13553
1500000US130510041001,130510041001,"Block Group 1, Census Tract 41, Chatham County, Georgia",45500,14989
1500000US130510041002,130510041002,"Block Group 2, Census Tract 41, Chatham County, Georgia",61510,12200
1500000US130510042071,130510042071,"Block Group 1, Census Tract 42.07, Chatham County, Georgia",30639,7761
1500000US130510042072,130510042072,"Block Group 2, Census Tract 42.07, Chatham County, Georgia",39545,19420
1500000US130510042073,130510042073,"Block Group 3, Census Tract 42.07, Chatham County, Georgia",14940,6691
1500000US130510042081,130510042081,"Block Group 1, Census Tract 42.08, Chatham County, Georgia",52917,24598
1500000US130510042082,130510042082,"Block Group 2, Census Tract 42.08, Chatham County, Georgia",49079,17740
1500000US130510042083,130510042083,"Block Group 3, Census Tract 42.08, Chatham County, Georgia",60588,16191
1500000US130510042084,130510042084,"Block Group 4, Census Tract 42.08, Chatham County, Georgia",33229,11533
1500000US130510042085,130510042085,"Block Group 5, Census Tract 42.08, Chatham County, Georgia",31848,6316
1500000US130510042091,130510042091,"Block Group 1, Census Tract 42.09, Chatham County, Georgia",47431,10902
1500000US130510042092,130510042092,"Block Group 2, Census Tract 42.09, Chatham County, Georgia",21782,6491
1500000US130510042093,130510042093,"Block Group 3, Census Tract 42.09, Chatham County, Georgia",35625,5174
1500000US130510042101,130510042101,"Block Group 1, Census Tract 42.10, Chatham County, Georgia",31568,8281
1500000US130510042102,130510042102,"Block Group 2, Census Tract 42.10, Chatham County, Georgia",41719,10494
1500000US130510042103,130510042103,"Block Group 3, Census Tract 42.10, Chatham County, Georgia",44250,8065
1500000US130510042104,130510042104,"Block Group 4, Census Tract 42.10, Chatham County, Georgia",26667,9651
1500000US130510042111,130510042111,"Block Group 1, Census Tract 42.11, Chatham County, Georgia",32907,12280
1500000US130510042112,130510042112,"Block Group 2, Census Tract 42.11, Chatham County, Georgia",50012,28582
1500000US130510042113,130510042113,"Block Group 3, Census Tract 42.11, Chatham County, Georgia",53750,10709
1500000US130510042114,130510042114,"Block Group 4, Census Tract 42.11, Chatham County, Georgia",55000,6679
1500000US130510042121,130510042121,"Block Group 1, Census Tract 42.12, Chatham County, Georgia",45812,6349
1500000US130510042122,130510042122,"Block Group 2, Census Tract 42.12, Chatham County, Georgia",50592,15526
1500000US130510042123,130510042123,"Block Group 3, Census Tract 42.12, Chatham County, Georgia",66319,15967
1500000US130510043001,130510043001,"Block Group 1, Census Tract 43, Chatham County, Georgia",42333,3584
1500000US130510044001,130510044001,"Block Group 1, Census Tract 44, Chatham County, Georgia",18843,4300
1500000US130510044002,130510044002,"Block Group 2, Census Tract 44, Chatham County, Georgia",33438,9178
1500000US130510045002,130510045002,"Block Group 2, Census Tract 45, Chatham County, Georgia",26953,18267
1500000US130510045003,130510045003,"Block Group 3, Census Tract 45, Chatham County, Georgia",29435,10090
1500000US130510045004,130510045004,"Block Group 4, Census Tract 45, Chatham County, Georgia",34267,11453
1500000US130510101011,130510101011,"Block Group 1, Census Tract 101.01, Chatham County, Georgia","2,500-",***
1500000US130510101012,130510101012,"Block Group 2, Census Tract 101.01, Chatham County, Georgia",101250,33683
1500000US130510101021,130510101021,"Block Group 1, Census Tract 101.02, Chatham County, Georgia",35938,24769
1500000US130510101022,130510101022,"Block Group 2, Census Tract 101.02, Chatham County, Georgia",43333,10989
1500000US130510101023,130510101023,"Block Group 3, Census Tract 101.02, Chatham County, Georgia",53654,19390
1500000US130510102001,130510102001,"Block Group 1, Census Tract 102, Chatham County, Georgia",80313,34264
1500000US130510102002,130510102002,"Block Group 2, Census Tract 102, Chatham County, Georgia",47849,11326
1500000US130510102003,130510102003,"Block Group 3, Census Tract 102, Chatham County, Georgia",42083,22437
1500000US130510105011,130510105011,"Block Group 1, Census Tract 105.01, Chatham County, Georgia",27518,12721
1500000US130510105012,130510105012,"Block Group 2, Census Tract 105.01, Chatham County, Georgia",32219,15151
1500000US130510105013,130510105013,"Block Group 3, Census Tract 105.01, Chatham County, Georgia",36630,16470
1500000US130510105014,130510105014,"Block Group 4, Census Tract 105.01, Chatham County, Georgia",22386,16138
1500000US130510105021,130510105021,"Block Group 1, Census Tract 105.02, Chatham County, Georgia",17652,3820
1500000US130510105022,130510105022,"Block Group 2, Census Tract 105.02, Chatham County, Georgia",40000,9399
1500000US130510106011,130510106011,"Block Group 1, Census Tract 106.01, Chatham County, Georgia",44271,24090
1500000US130510106012,130510106012,"Block Group 2, Census Tract 106.01, Chatham County, Georgia",36250,18871
1500000US130510106014,130510106014,"Block Group 4, Census Tract 106.01, Chatham County, Georgia",45682,13499
1500000US130510106015,130510106015,"Block Group 5, Census Tract 106.01, Chatham County, Georgia",24730,5252
1500000US130510106016,130510106016,"Block Group 6, Census Tract 106.01, Chatham County, Georgia",34706,11567
1500000US130510106031,130510106031,"Block Group 1, Census Tract 106.03, Chatham County, Georgia",40840,4887
1500000US130510106051,130510106051,"Block Group 1, Census Tract 106.05, Chatham County, Georgia",-,**
1500000US130510107001,130510107001,"Block Group 1, Census Tract 107, Chatham County, Georgia",77325,9167
1500000US130510107002,130510107002,"Block Group 2, Census Tract 107, Chatham County, Georgia",49931,21046
1500000US130510107003,130510107003,"Block Group 3, Census Tract 107, Chatham County, Georgia",35944,10465
1500000US130510108011,130510108011,"Block Group 1, Census Tract 108.01, Chatham County, Georgia",44103,10351
1500000US130510108012,130510108012,"Block Group 2, Census Tract 108.01, Chatham County, Georgia",53125,9523
1500000US130510108021,130510108021,"Block Group 1, Census Tract 108.02, Chatham County, Georgia",68750,17709
1500000US130510108022,130510108022,"Block Group 2, Census Tract 108.02, Chatham County, Georgia",65679,14569
1500000US130510108031,130510108031,"Block Group 1, Census Tract 108.03, Chatham County, Georgia",48218,25394
1500000US130510108032,130510108032,"Block Group 2, Census Tract 108.03, Chatham County, Georgia",45363,5458
1500000US130510108033,130510108033,"Block Group 3, Census Tract 108.03, Chatham County, Georgia",54476,12714
1500000US130510108034,130510108034,"Block Group 4, Census Tract 108.03, Chatham County, Georgia",63764,10737
1500000US130510108061,130510108061,"Block Group 1, Census Tract 108.06, Chatham County, Georgia",49094,23089
1500000US130510108062,130510108062,"Block Group 2, Census Tract 108.06, Chatham County, Georgia",46310,33223
1500000US130510108063,130510108063,"Block Group 3, Census Tract 108.06, Chatham County, Georgia",56053,17553
1500000US130510108064,130510108064,"Block Group 4, Census Tract 108.06, Chatham County, Georgia",39434,7561
1500000US130510108071,130510108071,"Block Group 1, Census Tract 108.07, Chatham County, Georgia",75260,9745
1500000US130510108072,130510108072,"Block Group 2, Census Tract 108.07, Chatham County, Georgia",82000,21994
1500000US130510108073,130510108073,"Block Group 3, Census Tract 108.07, Chatham County, Georgia",51263,7371
1500000US130510108081,130510108081,"Block Group 1, Census Tract 108.08, Chatham County, Georgia",46517,6368
1500000US130510108082,130510108082,"Block Group 2, Census Tract 108.08, Chatham County, Georgia",23281,3162
1500000US130510108083,130510108083,"Block Group 3, Census Tract 108.08, Chatham County, Georgia",64135,17337
1500000US130510108084,130510108084,"Block Group 4, Census Tract 108.08, Chatham County, Georgia",47132,23166
1500000US130510108091,130510108091,"Block Group 1, Census Tract 108.09, Chatham County, Georgia",82754,14003
1500000US130510108092,130510108092,"Block Group 2, Census Tract 108.09, Chatham County, Georgia",57731,6391
1500000US130510109011,130510109011,"Block Group 1, Census Tract 109.01, Chatham County, Georgia",36569,5862
1500000US130510109012,130510109012,"Block Group 2, Census Tract 109.01, Chatham County, Georgia",24348,6716
1500000US130510109013,130510109013,"Block Group 3, Census Tract 109.01, Chatham County, Georgia",38631,8773
1500000US130510110031,130510110031,"Block Group 1, Census Tract 110.03, Chatham County, Georgia",76406,12848
1500000US130510110032,130510110032,"Block Group 2, Census Tract 110.03, Chatham County, Georgia",45083,23589
1500000US130510110033,130510110033,"Block Group 3, Census Tract 110.03, Chatham County, Georgia",52366,41592
1500000US130510110034,130510110034,"Block Group 4, Census Tract 110.03, Chatham County, Georgia",50665,10587
1500000US130510110035,130510110035,"Block Group 5, Census Tract 110.03, Chatham County, Georgia",52576,12942
1500000US130510110041,130510110041,"Block Group 1, Census Tract 110.04, Chatham County, Georgia",126528,38891
1500000US130510110042,130510110042,"Block Group 2, Census Tract 110.04, Chatham County, Georgia",78702,25297
1500000US130510110043,130510110043,"Block Group 3, Census Tract 110.04, Chatham County, Georgia",61458,37314
1500000US130510110051,130510110051,"Block Group 1, Census Tract 110.05, Chatham County, Georgia",74554,27289
1500000US130510110052,130510110052,"Block Group 2, Census Tract 110.05, Chatham County, Georgia",109489,27878
1500000US130510110053,130510110053,"Block Group 3, Census Tract 110.05, Chatham County, Georgia",141324,77622
1500000US130510110054,130510110054,"Block Group 4, Census Tract 110.05, Chatham County, Georgia",101912,31813
1500000US130510110061,130510110061,"Block Group 1, Census Tract 110.06, Chatham County, Georgia",95000,15095
1500000US130510110062,130510110062,"Block Group 2, Census Tract 110.06, Chatham County, Georgia",115089,21808
1500000US130510111031,130510111031,"Block Group 1, Census Tract 111.03, Chatham County, Georgia",68520,20974
1500000US130510111032,130510111032,"Block Group 2, Census Tract 111.03, Chatham County, Georgia",72554,5596
1500000US130510111033,130510111033,"Block Group 3, Census Tract 111.03, Chatham County, Georgia",51125,20345
1500000US130510111034,130510111034,"Block Group 4, Census Tract 111.03, Chatham County, Georgia",62065,21929
1500000US130510111041,130510111041,"Block Group 1, Census Tract 111.04, Chatham County, Georgia",60700,16991
1500000US130510111042,130510111042,"Block Group 2, Census Tract 111.04, Chatham County, Georgia",63516,17779
1500000US130510111043,130510111043,"Block Group 3, Census Tract 111.04, Chatham County, Georgia",47344,12401
1500000US130510111061,130510111061,"Block Group 1, Census Tract 111.06, Chatham County, Georgia",60972,17196
1500000US130510111062,130510111062,"Block Group 2, Census Tract 111.06, Chatham County, Georgia",49050,12254
1500000US130510111071,130510111071,"Block Group 1, Census Tract 111.07, Chatham County, Georgia",80337,18297
1500000US130510111072,130510111072,"Block Group 2, Census Tract 111.07, Chatham County, Georgia",71111,22254
1500000US130510111073,130510111073,"Block Group 3, Census Tract 111.07, Chatham County, Georgia",58125,6853
1500000US130510111081,130510111081,"Block Group 1, Census Tract 111.08, Chatham County, Georgia",76397,9253
1500000US130510111082,130510111082,"Block Group 2, Census Tract 111.08, Chatham County, Georgia",74671,5456
1500000US130510111091,130510111091,"Block Group 1, Census Tract 111.09, Chatham County, Georgia",73750,25995
1500000US130510111092,130510111092,"Block Group 2, Census Tract 111.09, Chatham County, Georgia",77500,16678
1500000US130510111093,130510111093,"Block Group 3, Census Tract 111.09, Chatham County, Georgia",94412,19889
1500000US130510111094,130510111094,"Block Group 4, Census Tract 111.09, Chatham County, Georgia",42137,8831
1500000US130510112001,130510112001,"Block Group 1, Census Tract 112, Chatham County, Georgia",39750,15658
1500000US130510112002,130510112002,"Block Group 2, Census Tract 112, Chatham County, Georgia",39375,20650
1500000US130510113001,130510113001,"Block Group 1, Census Tract 113, Chatham County, Georgia",19917,7638
1500000US130510113002,130510113002,"Block Group 2, Census Tract 113, Chatham County, Georgia",14978,8666
1500000US130510114001,130510114001,"Block Group 1, Census Tract 114, Chatham County, Georgia",26121,7263
1500000US130510114002,130510114002,"Block Group 2, Census Tract 114, Chatham County, Georgia",13525,4143
1500000US130510115001,130510115001,"Block Group 1, Census Tract 115, Chatham County, Georgia",67250,16073
1500000US130510115002,130510115002,"Block Group 2, Census Tract 115, Chatham County, Georgia",70547,11546
1500000US130510116001,130510116001,"Block Group 1, Census Tract 116, Chatham County, Georgia",41583,6333
1500000US130510116002,130510116002,"Block Group 2, Census Tract 116, Chatham County, Georgia",23289,11074
1500000US130519800001,130519800001,"Block Group 1, Census Tract 9800, Chatham County, Georgia",-,**
1500000US130519900000,130519900000,"Block Group 0, Census Tract 9900, Chatham County, Georgia",-,**
1500000US130530201001,130530201001,"Block Group 1, Census Tract 201, Chattahoochee County, Georgia",32413,9200
1500000US130530201002,130530201002,"Block Group 2, Census Tract 201, Chattahoochee County, Georgia",30725,2791
1500000US130530202011,130530202011,"Block Group 1, Census Tract 202.01, Chattahoochee County, Georgia",51425,5120
1500000US130530202012,130530202012,"Block Group 2, Census Tract 202.01, Chattahoochee County, Georgia",54023,2984
1500000US130530202031,130530202031,"Block Group 1, Census Tract 202.03, Chattahoochee County, Georgia",44351,3034
1500000US130530202032,130530202032,"Block Group 2, Census Tract 202.03, Chattahoochee County, Georgia",40500,7712
1500000US130530202051,130530202051,"Block Group 1, Census Tract 202.05, Chattahoochee County, Georgia",42420,3143
1500000US130530202052,130530202052,"Block Group 2, Census Tract 202.05, Chattahoochee County, Georgia",70625,48862
1500000US130530202053,130530202053,"Block Group 3, Census Tract 202.05, Chattahoochee County, Georgia",49750,20327
1500000US130530202061,130530202061,"Block Group 1, Census Tract 202.06, Chattahoochee County, Georgia",-,**
1500000US130550101001,130550101001,"Block Group 1, Census Tract 101, Chattooga County, Georgia",32981,11384
1500000US130550101002,130550101002,"Block Group 2, Census Tract 101, Chattooga County, Georgia",42063,7884
1500000US130550102001,130550102001,"Block Group 1, Census Tract 102, Chattooga County, Georgia",44474,10424
1500000US130550102002,130550102002,"Block Group 2, Census Tract 102, Chattooga County, Georgia",42279,9979
1500000US130550102003,130550102003,"Block Group 3, Census Tract 102, Chattooga County, Georgia",38200,5463
1500000US130550102004,130550102004,"Block Group 4, Census Tract 102, Chattooga County, Georgia",24621,7989
1500000US130550102005,130550102005,"Block Group 5, Census Tract 102, Chattooga County, Georgia",27857,7632
1500000US130550102006,130550102006,"Block Group 6, Census Tract 102, Chattooga County, Georgia",38021,16558
1500000US130550103001,130550103001,"Block Group 1, Census Tract 103, Chattooga County, Georgia",33500,8028
1500000US130550103002,130550103002,"Block Group 2, Census Tract 103, Chattooga County, Georgia",41713,7738
1500000US130550103003,130550103003,"Block Group 3, Census Tract 103, Chattooga County, Georgia",32972,6484
1500000US130550104001,130550104001,"Block Group 1, Census Tract 104, Chattooga County, Georgia",36652,7390
1500000US130550104002,130550104002,"Block Group 2, Census Tract 104, Chattooga County, Georgia",24875,12344
1500000US130550104003,130550104003,"Block Group 3, Census Tract 104, Chattooga County, Georgia",42841,35869
1500000US130550104004,130550104004,"Block Group 4, Census Tract 104, Chattooga County, Georgia",14773,6451
1500000US130550105001,130550105001,"Block Group 1, Census Tract 105, Chattooga County, Georgia",42355,5860
1500000US130550105002,130550105002,"Block Group 2, Census Tract 105, Chattooga County, Georgia",45375,16407
1500000US130550105003,130550105003,"Block Group 3, Census Tract 105, Chattooga County, Georgia",26010,17836
1500000US130550105004,130550105004,"Block Group 4, Census Tract 105, Chattooga County, Georgia",12428,4195
1500000US130550105005,130550105005,"Block Group 5, Census Tract 105, Chattooga County, Georgia",23068,2022
1500000US130550106001,130550106001,"Block Group 1, Census Tract 106, Chattooga County, Georgia",29779,11642
1500000US130550106002,130550106002,"Block Group 2, Census Tract 106, Chattooga County, Georgia",38906,7922
1500000US130570901001,130570901001,"Block Group 1, Census Tract 901, Cherokee County, Georgia",44091,17731
1500000US130570901002,130570901002,"Block Group 2, Census Tract 901, Cherokee County, Georgia",63304,12606
1500000US130570901003,130570901003,"Block Group 3, Census Tract 901, Cherokee County, Georgia",59722,9008
1500000US130570901004,130570901004,"Block Group 4, Census Tract 901, Cherokee County, Georgia",46458,29959
1500000US130570902001,130570902001,"Block Group 1, Census Tract 902, Cherokee County, Georgia",60294,15720
1500000US130570902002,130570902002,"Block Group 2, Census Tract 902, Cherokee County, Georgia",61397,31553
1500000US130570902003,130570902003,"Block Group 3, Census Tract 902, Cherokee County, Georgia",70912,15111
1500000US130570903001,130570903001,"Block Group 1, Census Tract 903, Cherokee County, Georgia",66369,6578
1500000US130570903002,130570903002,"Block Group 2, Census Tract 903, Cherokee County, Georgia",95793,12248
1500000US130570904001,130570904001,"Block Group 1, Census Tract 904, Cherokee County, Georgia",47197,19522
1500000US130570904002,130570904002,"Block Group 2, Census Tract 904, Cherokee County, Georgia",40281,10835
1500000US130570904003,130570904003,"Block Group 3, Census Tract 904, Cherokee County, Georgia",32453,7975
1500000US130570905011,130570905011,"Block Group 1, Census Tract 905.01, Cherokee County, Georgia",67171,35842
1500000US130570905012,130570905012,"Block Group 2, Census Tract 905.01, Cherokee County, Georgia",62214,18565
1500000US130570905021,130570905021,"Block Group 1, Census Tract 905.02, Cherokee County, Georgia",105125,27520
1500000US130570905022,130570905022,"Block Group 2, Census Tract 905.02, Cherokee County, Georgia",88156,26088
1500000US130570905023,130570905023,"Block Group 3, Census Tract 905.02, Cherokee County, Georgia",75648,38739
1500000US130570905024,130570905024,"Block Group 4, Census Tract 905.02, Cherokee County, Georgia",105391,31487
1500000US130570906011,130570906011,"Block Group 1, Census Tract 906.01, Cherokee County, Georgia",51300,22130
1500000US130570906012,130570906012,"Block Group 2, Census Tract 906.01, Cherokee County, Georgia",55809,7600
1500000US130570906013,130570906013,"Block Group 3, Census Tract 906.01, Cherokee County, Georgia",20852,14291
1500000US130570906021,130570906021,"Block Group 1, Census Tract 906.02, Cherokee County, Georgia",67212,15036
1500000US130570906022,130570906022,"Block Group 2, Census Tract 906.02, Cherokee County, Georgia",63568,29307
1500000US130570906023,130570906023,"Block Group 3, Census Tract 906.02, Cherokee County, Georgia",32770,29328
1500000US130570907011,130570907011,"Block Group 1, Census Tract 907.01, Cherokee County, Georgia",84851,35851
1500000US130570907012,130570907012,"Block Group 2, Census Tract 907.01, Cherokee County, Georgia",90081,44684
1500000US130570907013,130570907013,"Block Group 3, Census Tract 907.01, Cherokee County, Georgia",87795,49112
1500000US130570907014,130570907014,"Block Group 4, Census Tract 907.01, Cherokee County, Georgia",62304,7046
1500000US130570907021,130570907021,"Block Group 1, Census Tract 907.02, Cherokee County, Georgia",36654,17567
1500000US130570907022,130570907022,"Block Group 2, Census Tract 907.02, Cherokee County, Georgia",52045,18342
1500000US130570907023,130570907023,"Block Group 3, Census Tract 907.02, Cherokee County, Georgia",51188,15411
1500000US130570907024,130570907024,"Block Group 4, Census Tract 907.02, Cherokee County, Georgia",63293,9146
1500000US130570908021,130570908021,"Block Group 1, Census Tract 908.02, Cherokee County, Georgia",85430,15893
1500000US130570908022,130570908022,"Block Group 2, Census Tract 908.02, Cherokee County, Georgia",76221,11535
1500000US130570908023,130570908023,"Block Group 3, Census Tract 908.02, Cherokee County, Georgia",99973,21465
1500000US130570908031,130570908031,"Block Group 1, Census Tract 908.03, Cherokee County, Georgia",81094,12158
1500000US130570908032,130570908032,"Block Group 2, Census Tract 908.03, Cherokee County, Georgia",90375,19273
1500000US130570908033,130570908033,"Block Group 3, Census Tract 908.03, Cherokee County, Georgia",115034,34803
1500000US130570908041,130570908041,"Block Group 1, Census Tract 908.04, Cherokee County, Georgia",82165,35668
1500000US130570908042,130570908042,"Block Group 2, Census Tract 908.04, Cherokee County, Georgia",93155,12334
1500000US130570908043,130570908043,"Block Group 3, Census Tract 908.04, Cherokee County, Georgia",62092,15584
1500000US130570909011,130570909011,"Block Group 1, Census Tract 909.01, Cherokee County, Georgia",96384,18585
1500000US130570909012,130570909012,"Block Group 2, Census Tract 909.01, Cherokee County, Georgia",86558,9987
1500000US130570909013,130570909013,"Block Group 3, Census Tract 909.01, Cherokee County, Georgia",47411,15402
1500000US130570909021,130570909021,"Block Group 1, Census Tract 909.02, Cherokee County, Georgia",83201,21051
1500000US130570909022,130570909022,"Block Group 2, Census Tract 909.02, Cherokee County, Georgia",60688,12923
1500000US130570909023,130570909023,"Block Group 3, Census Tract 909.02, Cherokee County, Georgia",81417,15916
