Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1072,278,471,193,418,187,10,17,0,13,0,13,157,92,16,21,0,13,16,21
1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1784,337,1094,273,489,189,0,13,0,13,0,13,150,114,51,63,0,13,51,63
1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1307,205,1207,197,47,43,14,19,0,13,0,13,19,21,20,32,20,32,0,13
1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1527,291,1312,293,65,73,0,13,0,13,0,13,150,180,0,13,0,13,0,13
1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",820,194,793,190,13,21,0,13,9,19,5,9,0,13,0,13,0,13,0,13
1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",741,212,690,204,39,54,0,13,6,11,0,13,0,13,6,11,0,13,6,11
1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1562,247,1448,253,49,55,0,13,0,13,0,13,30,50,35,31,0,13,35,31
1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1161,298,846,218,9,15,0,13,0,13,0,13,306,204,0,13,0,13,0,13
1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1287,198,326,119,884,190,0,13,26,38,0,13,0,13,51,68,43,66,8,15
1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",2324,348,2087,339,237,121,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1251,270,876,243,297,97,0,13,0,13,27,39,0,13,51,47,0,13,51,47
1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",549,194,368,163,85,78,0,13,96,129,0,13,0,13,0,13,0,13,0,13
1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",815,210,483,170,326,151,0,13,0,13,0,13,0,13,6,13,0,13,6,13
1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",1394,222,425,133,923,222,0,13,19,32,0,13,27,38,0,13,0,13,0,13
1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",468,121,368,129,92,54,8,18,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130079602002,130079602002,"Block Group 2, Census Tract 9602, Baker County, Georgia",615,145,387,150,228,115,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130099701001,130099701001,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",1461,290,1274,269,166,129,0,13,0,13,0,13,0,13,21,32,0,13,21,32
1500000US130099701002,130099701002,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",1264,350,787,293,477,258,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130099701003,130099701003,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",2489,506,1248,397,1102,412,0,13,0,13,0,13,123,168,16,25,0,13,16,25
1500000US130099702001,130099702001,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",1025,399,612,220,244,369,9,17,0,13,0,13,160,189,0,13,0,13,0,13
1500000US130099702002,130099702002,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",2291,388,1958,327,224,184,0,13,97,113,0,13,0,13,12,18,0,13,12,18
1500000US130099702003,130099702003,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",2092,458,747,306,1345,405,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130099702004,130099702004,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",313,231,0,13,274,207,0,13,0,13,39,64,0,13,0,13,0,13,0,13
1500000US130099702005,130099702005,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",803,381,421,184,357,330,0,13,0,13,0,13,25,42,0,13,0,13,0,13
1500000US130099703001,130099703001,"Block Group 1, Census Tract 9703, Baldwin County, Georgia",2826,433,1659,331,1056,324,27,28,40,77,0,13,32,55,12,23,0,13,12,23
1500000US130099703002,130099703002,"Block Group 2, Census Tract 9703, Baldwin County, Georgia",3535,562,1833,394,1317,404,52,60,187,152,0,13,93,145,53,57,0,13,53,57
1500000US130099704001,130099704001,"Block Group 1, Census Tract 9704, Baldwin County, Georgia",1106,279,601,165,451,214,0,13,54,80,0,13,0,13,0,13,0,13,0,13
